customer_id,satisfaction_score,survey_date,tier,points
C084,6.0,2023-12-01 00:00:00,0,0.0
C054,3.0,2023-12-02 00:00:00,Bronze,1074.0
C071,7.0,2023-12-03 00:00:00,Bronze,2676.0
C046,6.0,2023-12-04 00:00:00,Bronze,6987.0
C045,3.0,2023-12-05 00:00:00,Bronze,6581.0
C040,3.0,2023-12-06 00:00:00,0,0.0
C023,10.0,2023-12-07 00:00:00,0,0.0
C081,9.0,2023-12-08 00:00:00,0,0.0
C011,2.0,2023-12-09 00:00:00,0,0.0
C001,9.0,2023-12-10 00:00:00,Silver,2060.0
C019,2.0,2023-12-11 00:00:00,0,0.0
C031,9.0,2023-12-12 00:00:00,Platinum,2372.0
C074,8.0,2023-12-13 00:00:00,0,0.0
C034,5.0,2023-12-14 00:00:00,Platinum,1559.0
C091,3.0,2023-12-15 00:00:00,Silver,4484.0
C005,8.0,2023-12-16 00:00:00,Bronze,7544.0
C077,6.0,2023-12-17 00:00:00,Gold,1963.0
C078,7.0,2023-12-18 00:00:00,Silver,7373.0
C013,2.0,2023-12-19 00:00:00,Silver,1596.0
C032,1.0,2023-12-20 00:00:00,Platinum,6234.0
C056,6.0,2023-12-21 00:00:00,0,0.0
C089,3.0,2023-12-22 00:00:00,Gold,2365.0
C027,5.0,2023-12-23 00:00:00,Platinum,3214.0
C043,6.0,2023-12-24 00:00:00,Platinum,9116.0
C070,3.0,2023-12-25 00:00:00,Bronze,5701.0
C016,10.0,2023-12-26 00:00:00,0,0.0
C041,6.0,2023-12-27 00:00:00,0,0.0
C097,3.0,2023-12-28 00:00:00,0,0.0
C010,8.0,2023-12-29 00:00:00,Bronze,9623.0
C073,8.0,2023-12-30 00:00:00,Silver,8781.0
C012,8.0,2023-12-31 00:00:00,Platinum,8346.0
C048,4.0,2024-01-01 00:00:00,0,0.0
C086,7.0,2024-01-02 00:00:00,Silver,7986.0
C029,4.0,2024-01-03 00:00:00,Platinum,2918.0
C094,6.0,2024-01-04 00:00:00,0,0.0
C006,5.0,2024-01-05 00:00:00,Silver,6437.0
C067,5.0,2024-01-06 00:00:00,0,0.0
C066,1.0,2024-01-07 00:00:00,Platinum,2574.0
C036,9.0,2024-01-08 00:00:00,Gold,7267.0
C017,6.0,2024-01-09 00:00:00,Silver,7582.0
C050,2.0,2024-01-10 00:00:00,0,0.0
C035,7.0,2024-01-11 00:00:00,0,0.0
C008,9.0,2024-01-12 00:00:00,0,0.0
C096,10.0,2024-01-13 00:00:00,Platinum,5262.0
C028,10.0,2024-01-14 00:00:00,0,0.0
C020,3.0,2024-01-15 00:00:00,Bronze,6320.0
C082,2.0,2024-01-16 00:00:00,Platinum,3314.0
C026,5.0,2024-01-17 00:00:00,0,0.0
C063,3.0,2024-01-18 00:00:00,Bronze,2898.0
C014,2.0,2024-01-19 00:00:00,0,0.0
C009,0.0,0,Silver,8280.0
C083,0.0,0,Bronze,8696.0
C064,0.0,0,Gold,9456.0
C051,0.0,0,Platinum,3885.0
C024,0.0,0,Gold,3347.0
C061,0.0,0,Silver,2250.0
C025,0.0,0,Platinum,5144.0
C039,0.0,0,Silver,9015.0
C057,0.0,0,Bronze,287.0
C076,0.0,0,Platinum,9512.0
C030,0.0,0,Silver,426.0
C092,0.0,0,Platinum,234.0
C042,0.0,0,Silver,6689.0
C022,0.0,0,Gold,8272.0
C085,0.0,0,Silver,847.0
C088,0.0,0,Platinum,5352.0
C098,0.0,0,Bronze,2387.0
C021,0.0,0,Silver,2245.0
C090,0.0,0,Platinum,1801.0
C038,0.0,0,Bronze,2771.0
C060,0.0,0,Gold,454.0
C002,0.0,0,Bronze,4024.0
C075,0.0,0,Silver,697.0
C080,0.0,0,Bronze,5127.0
C015,0.0,0,Platinum,8406.0
C055,0.0,0,Silver,1844.0
C052,0.0,0,Platinum,4695.0
C007,0.0,0,Platinum,6102.0
C099,0.0,0,Silver,480.0
C044,0.0,0,Gold,8428.0
